URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Has type,Consists of,Vessel Form,Decorative Technique,Condition,Description
http://opencontext.org/subjects/36EAC010-49A0-4AF5-8A04-10A15F1F4E8C,43.15275959,11.40179491,-700,-535,vessel,pottery,Form unspecified,,,"A partial profile of a creamware vessel is preserved.  Fragment A preserves a flat, vertical rim that projects upwards from the body of the vessel and comes to a rounded edge (max. pres. height 0.015 m, max. pres. thickness 0.005 m).  A flat, U-shaped handle (max. pres. width 0.057 m, max. pres. height 0.012 m, max. pres. thickness 0.008 m) curves out from the exterior surface of the vessel, located 0.024 m below the rim and projecting outwards approximatey 0.016 m from the body.  A portion of a similar handle (max. pres. width 0.030 m, max. pres. height 0.016 m, max. pres. thickness 0.011 m) is preserved on Fragment E.  The preserved body of the vessel is concave and extremely rounded, measuring 0.144 m in max. pres. diameter."
http://opencontext.org/subjects/4E06CB34-DDAD-4C2D-1FDC-67004BBC42D6,43.15331485,11.39938356,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Incised; Molded,The fragment is broken along two sides.  The fragment is a join of one large and two smaller sherds.  Both the interior and exterior surface of the fragment are very well preserved.,"The fragment preserved portions of a molded vessel.  Portions of three oblong molded decorations are visible along the body of the vessel, oriented vertically.  The pattern is of an inverted ""U"", with the legs of the ""U"" rising in width from the surface of the fragment.  Portions of the rim are preserved above this pattern.  The edge of the rim is flat and meets the side face in a slightly rounded bevel.  Beneath this bevel, separated by a narrow, incised ridge, is a second raised ridge.  Slight differentiations in the width of the fabric are visible in the reverse, interior face of the vessel."
http://opencontext.org/subjects/C581ED30-ACF6-49C2-F51E-485910ED41A2,43.15342591,11.40195777,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Stamped; Molded,"Broken on all sides. Composed of several fragments, glued; area missing from center. Very worn.","Large bucchero handle fragment, very slightly concave in section with molded decoration of deep longitudinal lines and where these end, stamped decoration of short horizontal lines graduated in size to form a triangular pattern.  This pattern preserved eight times, in part, across existing fragment of handle.  Longitudinal lines taper at ends."
http://opencontext.org/subjects/2055D01B-A652-42FC-C57B-0311A05C73CA,43.15349294,11.40129501,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Molded; Applique,"Two non-adjoining fragments (A, B and C) of same rim. Fragments B and C are seperate sherds, joining but not yet glued [at time of original catalog record].  Fragment B consists of two sherds glued together.  Attachments broken off; all breaks abraded, surfaces worn.","Fragments of large, wide-mouthed pot with thick rim; rim is flat on top with single groove near and parallel to inner edge of mouth; exterior of rim rectangular in section, protruding from body of pot, and molded with three parallel grooves forming two raised ridges.  Other decoration was probably applied where scars remain: Fragment A has two originally round scars on top surface of rim; Fragment B has set of three scars: two roughly round scars flanking an irregular scar which covers both top and side of the rim -- this may have carried decoration such as an animal protome or human head (see entry 19700076).  Fragment C has four scars -- three roughly round ones, and one large irregular one."
http://opencontext.org/subjects/22CD1AE6-8F18-497D-5344-9B77F5D95E0A,43.15276106,11.4015978,-700,-535,vessel; bowl,pottery,Bowl,,Vessel is partially complete.  The surface is extremely worn with pitting.,"Full profile of a miniature impasto bowl consisting of three joining fragments.  The base of the bowl is flat.  From the base, the body of the vessel curves out and upward.  The body of the vessel curves slightly inward at the neck, and then curves outward again to form the rounded rim.  It appears that the bowl would have been globular in shape when intact."
http://opencontext.org/subjects/033362E3-C2D1-4488-B0CF-5CF32765875C,43.15266921,11.40210472,-700,-535,vessel; plate,pottery,Plate,,Restored from numerous fragments to a complete profile. Foot and stem are complete; very little of body and rim remain. Surface is lightly pitted; finish is preserved in spots.,Short stemmed plate has a wide foot and walls which slope gradually to a sharply inverted lip.
http://opencontext.org/subjects/49FAB282-B42A-4735-D675-708F03772B0A,43.15263639,11.40186253,-700,-535,vessel,pottery,Form unspecified,Inscribed; Molded,"Fragment preserves a portion of the vessel wall and the molded decoration attached. Surface is worn, but preserves small areas of slip.",Fragment preserves portion of vessel wall broken on four side and molded attachment perpendicular to the wall. Molded decoration is shaped like a cone with a rounded tip. There is a line inscribed about the base circumference of the molded piece.
http://opencontext.org/subjects/3A238558-9FA6-4EC6-A9A7-B5D4F8803252,43.15266824,11.40185399,-700,-535,vessel; lid,bucchero ware; Bucchero,Lid,Incised; Stamped,"Fragment is composed of two pieces. Surface is worn heavily in some areas, lightly in others. Edges chipped and broken irregularly.","Pieces preserve the rim and inner lip of a lid. The fragment preserves the following incised and stamped designs: Two parallel lines on rim below two wider incised lines on body. Two narrow parallel lines then separate a band of seven concentric circles, one of which is barely visible. Three parallel lines separate this band from another band of concentric circles, four of which are preserved completely, two of which are fragmentary. Three parallel lines separate these circles from a band of asterisk rosettes, two of which are preserved completely. One line is visible above this band. All of the concentric circles are composed of three depressed circles with a dot in the center. The inner surface preserves well-defined concentric wheel marks."
http://opencontext.org/subjects/E6058131-C3F6-403B-5527-18DF5004523E,43.15339298,11.40142162,-700,-535,vessel; bowl,bucchero ware; Bucchero,Bowl,Incised; Relief,"Missing part of interior portion of handle, part of wall and base of bowl, plus all of rim.","Bucchero bowl preserving part of one handle, and part of curved wall on curved base with interior depression; carination marked by two parallel ridges.  Top of handle is a round and pointed solid finial; exterior portion of handle is a flat, thin, curved section set at right angle to the loop section.  On interior portion is preserved a thin vertical section broken at bottom and now squrare in outline - on outer face is a small relief and incised gorgon face with irregular almond eyes, large nose, semi-circular mouth with two fangs in each side, raised round cheeks, protruding tongue with vertical groove, and vertical incisions at tip to indicate hair."
http://opencontext.org/subjects/1FA35760-C245-4ED0-609C-DD54D850EA28,43.15295723,11.40097719,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Incised; Stamped,"Five fragments, presumably from same vessel - A, B, C, and E glued from two sherds; remaining broken edges worn; surfaces worn and encrusted; cracking and chipping.","Fragments of thin-walled and slightly thinner rimmed vessel with slightly curving walls and straight rim.  Decorated inside and out: interior pattern on all pieces consists of large, irregular raised area (e.g., forked or lyre-shaped pattern on Fragment A) and incisions of straight parallel lines with zig-zags crossing and running between them, and curved lines (e.g., possible crescent shape on Fragment C).  Exteriors have, close to rim, an incised pattern of overlapping semi-circles with open ends turned up and terminating in loops above down-turned smaller semi-circles; Fragment A has a second pattern on right side of first: the bases of (six) stamped impressions of parallel, almost vertical bars of cross-hatching - bottom side of another appears on far right of this design, which does not occur on the other fragments.  Fragment E has single thin incision running through its portion of semi-circles pattern."
http://opencontext.org/subjects/9A908618-7A82-4C19-C742-85930CEDB0BF,43.15338039,11.40140015,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Molded,"Almost entire, glued from four fragments; chipped, scratched, slightly encrusted; burnt.","High bucchero handle molded in sharp contours and rounded geometric shapes preserves small section of body of its vessel, apparently molded with bulging walls.  Handle is composed of flat section set at perpendicular planes: a long, flat loop, slightly wider at bottom ends and rectangular in section has another flat section, 0.091 m high, set perpendicular to the loop - upper section has a rounded, pointed outline, with a finial on top of it - finial is rounded, bead-like shape with small, tapered point on top.  All surfaces exemetly smooth."
http://opencontext.org/subjects/B0ED346C-D75D-4948-2278-F842A7E4F650,43.1530141,11.40125335,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Incised; Letters; Inscribed,"Fragment is broken on three sides.  A large sherd is absent along the rim.  The surface is in relatively good condition with only minor wear and chipping, predominantly along the break edges.  The fragment is a join of six individual sherds.","Fragment preserves portions of a rounded bucchero rim.  Some incised marks and perhaps inscribed letters are visible on the concave face.  Three possible letters are visible along the upper, interior rim.  Two take the general form of upsilons while the rightmost appears to be a mu.  Moving away from the rim, a curvilinear line runs the length of the fragment, beneath which are several individually delineated hatched marks.  One additional upsilon shape, or perhaps simply a triangular shape, is attached to this curvilinear line in approximately an 180 degree orientation to the other letters, possible suggesting the back of an animal."
http://opencontext.org/subjects/121298DA-56FA-4E6D-4FC2-144EB4E3E12A,43.15251498,11.40196403,-700,-535,vessel,pottery,Form unspecified,,"Restored from approximately 18 fragments with two smaller fragments and one rim fragment unable to be joined.  All surfaces and break edges are worn, pitted, encrusted, and have numerous inclusions.","Fragments of an impasto vessel preserves portions of the base and vessel wall.  The base is circular with a max. pres. diameter 0.059 m and curves gently outward for the body.  The largest unjoined fragment preserves an everted rim that curves for 0.011 m away from the body. The rim fragment was found in proximity to the base fragments and is thought to be associated.  The interior of the vessel wall preserves indications of coiling, suggesting the vessel was hand made by use of the coil manufacture technique."
http://opencontext.org/subjects/A04D574D-0A19-48B5-2B04-883E97956C5A,43.15272399,11.40208022,-700,-535,vessel,terracotta; Terracotta,Form unspecified,,"Restored from three pieces; Broken off irregularly on all sides; surface worn, pitted and charred.","A large fragment, perhaps of a shallow utility vessel, preserving flat base and wall with sections of finished rim. Reverse side of base preserves a raised oval-shaped scar. Undecorated."
http://opencontext.org/subjects/97C3042A-F232-43BA-9A41-03B686FBEDEC,43.1534187,11.40146467,-700,-535,vessel; tripod,bucchero ware; Bucchero,Tripod,Incised,Two legs missing and foot of third leg; missing small pieces from base and wall; rim chipped; glued from numerous pieces; worn and encrusted.,"Tripod bowl preserving all but foot of one leg; bowl has a slightly convex base, vertical walls and slightly out-turned rim; the wall is decorated with two parallel incised grooves."
http://opencontext.org/subjects/C41405C9-4891-48EF-6802-53F652B650F8,43.15348465,11.40192428,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Stamped; Incised,"Two fragments of a wide, horizontal rim which do not join but appear to belong to the same vessel by virtue of their similar decoration.  Fragment A preserves a portion of the vertical edge of the rim and is broken irregularly on the other three sides.  The underside shows that the fragment is broken where rim attaches to the bowl.  Fragment B is apparently  broken on all sides, or possibly preserves a portion of a curving edge now badly worn and broken off where the rim would join the bowl.","Two fragments of a wide, horizontal rim with a flat, decorated upper surface.  This is probably part of a small circular bowl framed with at least one square corner, as shown by the preserved vertical edge of Fragment A which is decorated in a wave pattern, and possibly curved at the opposite corner as shown by Fragment B.  The two fragments do not join but seem to be part of the same vessel as revealed by their decoration.  Towards the inside the top surface of both fragments shows a decorative band containing a continuous guilloche, while towards the edge is a crudely incised wave pattern consisting of connecting or overlapping half-circles or half-ovals.  In addition, Fragment A has a single, stamped, eight-petal rosette near the edge of the rim."
http://opencontext.org/subjects/59C4BBDB-01C0-4DC6-F6A0-685682C4F8DB,43.15273953,11.40120222,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Stamped,Handle is broken off on two sides; surface is lightly pitted; stamp pattern is well preserved.,The fragment preserves part of the handle and a piece of the vessel at the point of attachment. The handle fragment has two finished edges. The stamped surface preserves a winged feline enclosed in a rectangular stamp. The figure runs down the handle with the head of the feline in the direction of the base. The profile of the winged feline shows all four legs and a tail curved toward the head. A dorsal trefoil wing is in the middle of the back. A human leg is hanging from its open mouth. A double row of stamped bow designs is above the central feline figure and a single row of bows is below it. The interior of each bow has a stamped double chevron pattern at each end. To the right of the winged feline stamp is a circular stamp fragment of an indiscernible design.
http://opencontext.org/subjects/51AB5231-6413-46CD-A5CF-6941A5B37054,43.15271704,11.40216215,-700,-535,vessel; plate,bucchero ware; Bucchero,Plate,Stamped,Restored from two pieces; edges broken off irregularly; preserves section of finished rim; surface worn and chipped.,"Bucchero plate fragment, preserving stamped design, consisting of a series of animals. The central animal appears to be a winged griffin; the lower body is missing. To the right, a second winged animal with both lower body and head missing. To the left, what may be the antlers of a grazing stag."
http://opencontext.org/subjects/856A17D0-CFA0-44BA-7F3F-1610DD5C51F8,43.15340115,11.40142678,-700,-535,vessel; plate,bucchero ware; Bucchero,Plate,Incised; Relief; Burnished,"Four separate fragments apparently from same vessel.  Fragments B and C glued from sherds; very worn, slightly encrusted.  Some pieces burnt: Fragment A black on bottom, dull gray on top; Fragment B black; Fragment C mottled gray-orange; Fragment D entirely black.","Four fragments apparently of same vessel, though not joining: possibly a plate or object with almost flat walls, flat thick curved rim set on at an angle, with raised ridge at joint with body on upper surface, and sloping sides.  Besides the raised flat-topped ridge, plate has relief decoration on one part of rim (Fragment A): a raised area, broken across middle - preserved right side has inward-curving volute with long, round-tipped projection extending from its upper curve to edge of rim, and triangluar raised area over center with traces of an opposed volute on left edge - seems similar to the ""bean"" patterns of other pieces, e.g. 19710533.  Inner or upper surface of body has very shallow incised, almost burnished pattern of two parallel horizontal grooves above and below a band of straight, vertical incisions which are slightly uneven but roughly parallel - this is preserved entire on Fragment C, and in part on Fragments B and D.  Area between rim and band, and below band is smooth."
http://opencontext.org/subjects/C6DBA3FE-5D3D-4CD5-7CD1-2C5DE0C609B7,43.15278248,11.40173803,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Roulette; Stamped,"Surfaces are worn, pitted, scratched, and encrusted.","Fragment of a bucchero vessel preserves portion of a straight, rounded rim.  Approx. 0.0055 m below the rim on the exterior surface is a band of roulette-stamped, stylized lotus chain measuring 0.0108 m in width.  Below the stamp the fragment curves more sharply."
http://opencontext.org/subjects/4BAB50D3-1468-4995-4095-4ABD7C77D7E5,43.15273029,11.40144676,-700,-535,vessel; bowl,pottery,Bowl,,The fragment is a join of two individual sherds.  The surface of both shards is well worn and heavily pitted.,"The fragment preserves a complete profile of a small, shallow bowl.  The base is delineated from the walls by a rounded rim that circles the exterior perimeter.  The walls taper in thickness as they ascend from the base.  The interior walls rise evenly, while the exterior walls widen midway through to form a horizontal bevel in the surface.  The rim is flat and terminates in a rounded edge."
http://opencontext.org/subjects/CEAEF3A4-0BCF-455D-E974-1E8B6F54B3E6,43.15264533,11.40180104,-700,-535,vessel; bowl,pottery,Bowl,,"Fragment, broken through the body of the vessel, preserves a portion of the rim and a handle. Surface is badly worn.","Fragment is broken irregularly through the body of the vessel above the base. The preserved vessel wall curves up at a strong angle and is carinated at the level of the handle to form a shallow ledge. The complete horizontal loop handle is preserved, Above the carination point, a portion of a vertical rim is preserved."
http://opencontext.org/subjects/1A87D0A2-C9AF-4866-1EB3-C977DEFA7E63,43.15343692,11.40141418,-700,-535,vessel; bowl,pottery,Bowl,Incised; Inscribed,One section of body and entire foot missing; encrusted; glued from seven sherds.,"Fragment of shallow bowl with plain, vertical rim, slightly rounded body, and, apparently, high possibly conical base, now preserved only in scar on bottom of fragment.  On wall of vessel, just below carinated rim, is incised Etruscan inscription, running from right to left, when read with vessel turned upside down, and slanting up at left toward base."
http://opencontext.org/subjects/6C8CB4E5-6CC5-4F0E-B088-1ACB4D2C92EF,43.15345624,11.40192163,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Stamped,,
http://opencontext.org/subjects/957E442D-A218-4956-BA70-56E6549160B0,43.15264771,11.40208195,-700,-535,vessel; plate,bucchero ware; Bucchero,Plate,Stamped,Part of the rim is preserved.  Broken on all other sides.  Worn.,A bucchero plate fragment with a raised edge forming the rim.  The rim has two transverse horizontal grooves.  On the plate is a stamped design forming an outer band consisting of a partially preserved lotus/palmette chain bordered by a groove.
http://opencontext.org/subjects/628DCCA0-89D9-4190-D70B-75710BD8BDD3,43.15259561,11.40193256,-700,-535,vessel; plate,bucchero ware; Bucchero,Plate,Incised; Impressed,"Restored from two pieces.  Chipped area in middle of join on exterior side.  Exterior rough and pitted, interior smoother finish.","Irregularly shaped fragment of high-footed, shallow plate. Exterior surface begins to flare toward the end, indicates the beginning of a conical foot. Interior surface decorated with an impressed ring. Exterior preserves an incised letter (san), and fragment of a second letter adjoining it (vertical stroke /)."
http://opencontext.org/subjects/63B37E1F-6E42-428F-5335-883A690E8996,43.15269522,11.40182936,-700,-535,vessel; lid,pottery,Lid,Incised; Stamped; Painted,"The preserved portion is broken on two sides, and the surface is worn and pitted.","A portion of a redware lid, roughly triangular in shape, is preserved.  The fragment preserves two finished faces with a pronounced curve and a finished rim.  On the interior surface there is a rounded ridge, approximately 0.023 m long, 0.004 m high, and 0.003 m thick.  From the rounded ridge the surface curves upward to form a rounded ridge.  On the exterior the rim slopes down to the decoared surface.  Near the rim there is a band of braided decoration, approximately 0.023 m in length and 0.002 m in width.  Below the braided band, four parallel incised lines form three bands varying in width from 0.001 m to less than 0.001 m.  Below the final incised line a portion of a stamped asterick rosette.  Scattered traces of reddish brown paint are preserved on the exterior surface.  For similar examples see artifacts 19830045, 19830046, and 19870070."
http://opencontext.org/subjects/2DEFD546-63BF-452E-A0EB-A34A9DA0A678,43.15265426,11.40173955,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Incised; Fluted; Molded,"Restored from two fragments, broken off at both ends, lower end includes part of bowl.","This strap handle fragment originally joined a high handled fluted vessel. The tops of two flutes remain at the lower end, outlined with arcs of parallel hatch-marks. A pair of molded arms with incised fingers extends down from the top as part of the outer surface. On the back, a scar remains of a support strut connecting with the missing inner part of the strap handle."
http://opencontext.org/subjects/7E0243C8-60D8-43D6-99C7-BE463CB7BD83,43.15263985,11.40185118,-700,-535,vessel,pottery,Form unspecified,Incised; Fluted,"The fragment is composed of five pieces.  The fragment is irregularly broken on all sides, the surface is worn and pitted.",The fragment is composed of five pieces which preserve portions of nine flutes.  The flutes flare out from a rounded bottom.  The back preserves part of an incised design of two concentric semi-circles.
http://opencontext.org/subjects/7E784E1B-9182-4B58-512B-638F2ECCA935,43.15265364,11.40180576,-700,-535,vessel; pithoi; pithos; Pithos,terracotta; Terracotta,Pithos,,Base is reconstructed from five fragments. It preserves no finished edges. The surfaces are well preserved. The preserved portion of the wall is blackened on the interior from uneven firing.,"Fragment is circular and has been broken in half. The bottom surface is slightly concave, while the top surface is convex and slopes downward to the outer edge of the base before rising up to meet the vessel walls. A small portion of the interior vessel wall preserves a steep curve up from the base. An impression of a head of wheat is preserved roughly in the center of the top surface of the base."
